Person_ID dd/mm/yyyy hh/mm/ss (x, y) rotation
Person_ID1 30/09/2024 13:09:08 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:08 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:08 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:08 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:08 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:08 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:09 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:09 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:09 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:09 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:09 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:09 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:10 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:10 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:10 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:10 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:10 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:10 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:10 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:10 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:10 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:10 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:11 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:11 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:11 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:11 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:11 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:11 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:12 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:12 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:12 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:12 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:12 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:12 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:13 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:13 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:13 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:13 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:13 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:13 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:13 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:13 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:14 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:14 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:14 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:14 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:14 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:14 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:15 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:15 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:15 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:15 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:15 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:15 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:15 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:16 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:16 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:16 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:16 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:16 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:17 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:17 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:17 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:17 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:17 (0.0 0.0) -0.008726
Person_ID0 30/09/2024 13:09:17 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:27 (0.0 0.0) -0.006981
Person_ID1 30/09/2024 13:09:27 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:28 (0.0 0.0) -0.006981
Person_ID1 30/09/2024 13:09:28 (0.0 0.0) -0.008726
Person_ID1 30/09/2024 13:09:28 (0.0 0.0) -0.006981
Person_ID0 30/09/2024 13:14:40 (0.0 0.0) -0.987804
Person_ID0 30/09/2024 13:14:40 (0.0 0.0) -1.097754
Person_ID1 30/09/2024 13:14:43 (0.0 0.0) -1.633543
Person_ID1 30/09/2024 13:14:45 (0.0 0.0) -1.561988
Person_ID1 30/09/2024 13:14:45 (0.0 0.0) -1.561988
Person_ID1 30/09/2024 13:14:46 (0.0 0.0) -1.560242
Person_ID1 30/09/2024 13:14:46 (0.0 0.0) -1.560242
Person_ID1 30/09/2024 13:14:46 (0.0 0.0) -1.560242
Person_ID1 30/09/2024 13:14:46 (0.0 0.0) -1.560242
Person_ID1 30/09/2024 13:14:47 (0.0 0.0) -1.561988
Person_ID1 30/09/2024 13:14:47 (0.0 0.0) -1.561988
Person_ID1 30/09/2024 13:14:47 (0.0 0.0) -1.561988
Person_ID1 30/09/2024 13:14:47 (0.0 0.0) -1.560242
Person_ID1 30/09/2024 13:14:47 (0.0 0.0) -1.560242
Person_ID1 30/09/2024 13:14:48 (0.0 0.0) -1.560242
Person_ID1 30/09/2024 13:14:48 (0.0 0.0) -1.560242
Person_ID1 30/09/2024 13:14:51 (0.0 0.0) -1.560242
Person_ID1 30/09/2024 13:14:51 (0.0 0.0) -1.560242
